"Step","group: finetuned_ridgeslowverybig_without_augmentations - test_total_r2","group: finetuned_ridgeslowverybig_without_augmentations - test_total_r2__MIN","group: finetuned_ridgeslowverybig_without_augmentations - test_total_r2__MAX","group: frozen_ridgeslowverybig_with_6augmentations - test_total_r2","group: frozen_ridgeslowverybig_with_6augmentations - test_total_r2__MIN","group: frozen_ridgeslowverybig_with_6augmentations - test_total_r2__MAX","group: trained - test_total_r2","group: trained - test_total_r2__MIN","group: trained - test_total_r2__MAX","group: frozen_ridgeslowverybig_with_3augmentations - test_total_r2","group: frozen_ridgeslowverybig_with_3augmentations - test_total_r2__MIN","group: frozen_ridgeslowverybig_with_3augmentations - test_total_r2__MAX","group: finetuned_ridgeslowverybig_with_3augmentations - test_total_r2","group: finetuned_ridgeslowverybig_with_3augmentations - test_total_r2__MIN","group: finetuned_ridgeslowverybig_with_3augmentations - test_total_r2__MAX","group: frozen_ridgeslowverybig_with_augmentations - test_total_r2","group: frozen_ridgeslowverybig_with_augmentations - test_total_r2__MIN","group: frozen_ridgeslowverybig_with_augmentations - test_total_r2__MAX","group: finetuned_ridgeslowverybig_with_6augmentations - test_total_r2","group: finetuned_ridgeslowverybig_with_6augmentations - test_total_r2__MIN","group: finetuned_ridgeslowverybig_with_6augmentations - test_total_r2__MAX","group: finetuned_ridgeslowverybig_with_augmentations - test_total_r2","group: finetuned_ridgeslowverybig_with_augmentations - test_total_r2__MIN","group: finetuned_ridgeslowverybig_with_augmentations - test_total_r2__MAX","group: frozen_ridgeslowverybig_without_augmentations - test_total_r2","group: frozen_ridgeslowverybig_without_augmentations - test_total_r2__MIN","group: frozen_ridgeslowverybig_without_augmentations - test_total_r2__MAX","group: random - test_total_r2","group: random - test_total_r2__MIN","group: random - test_total_r2__MAX"
"291","","","","","","","0.13389146327972412","0.13389146327972412","0.13389146327972412","","","","","","","","","","","","","","","","","","","","",""
"326","","","","","","","0.15891170501708984","0.15891170501708984","0.15891170501708984","","","","","","","","","","","","","","","","","","","","",""
"336","","","","","","","0.16610664129257202","0.16610664129257202","0.16610664129257202","","","","","","","","","","","","","","","","","","","","",""
"346","","","","","","","","","","","","","","","","","","","0.20164906978607178","0.20164906978607178","0.20164906978607178","","","","","","","","",""
"351","","","","","","","","","","","","","","","","","","","0.16806161403656006","0.16806161403656006","0.16806161403656006","","","","","","","","",""
"356","","","","","","","","","","","","","","","","","","","0.1624065637588501","0.1518498659133911","0.1703522801399231","0.19471269845962524","0.19471269845962524","0.19471269845962524","","","","","",""
"361","","","","","","","","","","","","","0.18775609135627747","0.1812947392463684","0.1942676305770874","","","","","","","0.18332123756408691","0.18332123756408691","0.18332123756408691","","","","","",""
"366","","","","","","","","","","","","","","","","","","","0.24356281757354736","0.24356281757354736","0.24356281757354736","","","","","","","","",""
"371","","","","","","","","","","","","","","","","","","","0.20090973377227783","0.19894886016845703","0.20287060737609863","0.19800511002540588","0.19522786140441895","0.20078235864639282","","","","","",""
"376","","","","","","","","","","","","","0.20221558213233948","0.19265586137771606","0.2117753028869629","","","","0.19796061515808105","0.19796061515808105","0.19796061515808105","0.18640899658203125","0.18640899658203125","0.18640899658203125","","","","","",""
"381","","","","","","","","","","","","","0.22108176350593567","0.21363550424575806","0.22852802276611328","","","","","","","0.22765421867370605","0.22765421867370605","0.22765421867370605","","","","","",""
"386","","","","","","","","","","","","","","","","","","","0.20171648263931274","0.20171648263931274","0.20171648263931274","","","","","","","","",""
