"Step","group: finetuned_ridgeslowverybig_with_6augmentations - test_total_r2","group: finetuned_ridgeslowverybig_with_6augmentations - test_total_r2__MIN","group: finetuned_ridgeslowverybig_with_6augmentations - test_total_r2__MAX","group: finetuned_ridgeslowverybig_with_augmentations - test_total_r2","group: finetuned_ridgeslowverybig_with_augmentations - test_total_r2__MIN","group: finetuned_ridgeslowverybig_with_augmentations - test_total_r2__MAX","group: finetuned_ridgeslowverybig_with_3augmentations - test_total_r2","group: finetuned_ridgeslowverybig_with_3augmentations - test_total_r2__MIN","group: finetuned_ridgeslowverybig_with_3augmentations - test_total_r2__MAX","group: trained - test_total_r2","group: trained - test_total_r2__MIN","group: trained - test_total_r2__MAX","group: finetuned_ridgeslowverybig_without_augmentations - test_total_r2","group: finetuned_ridgeslowverybig_without_augmentations - test_total_r2__MIN","group: finetuned_ridgeslowverybig_without_augmentations - test_total_r2__MAX","group: frozen_ridgeslowverybig_with_6augmentations - test_total_r2","group: frozen_ridgeslowverybig_with_6augmentations - test_total_r2__MIN","group: frozen_ridgeslowverybig_with_6augmentations - test_total_r2__MAX","group: frozen_ridgeslowverybig_with_3augmentations - test_total_r2","group: frozen_ridgeslowverybig_with_3augmentations - test_total_r2__MIN","group: frozen_ridgeslowverybig_with_3augmentations - test_total_r2__MAX","group: frozen_ridgeslowverybig_with_augmentations - test_total_r2","group: frozen_ridgeslowverybig_with_augmentations - test_total_r2__MIN","group: frozen_ridgeslowverybig_with_augmentations - test_total_r2__MAX","group: frozen_ridgeslowverybig_without_augmentations - test_total_r2","group: frozen_ridgeslowverybig_without_augmentations - test_total_r2__MIN","group: frozen_ridgeslowverybig_without_augmentations - test_total_r2__MAX","group: random - test_total_r2","group: random - test_total_r2__MIN","group: random - test_total_r2__MAX"
"716","","","","","","","","","","0.5152047276496887","0.5152047276496887","0.5152047276496887","","","","","","","","","","","","","","","","","",""
"727","0.4756736755371094","0.4756736755371094","0.4756736755371094","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"738","","","","","","","","","","0.46737727522850037","0.4555627703666687","0.47919178009033203","","","","","","","","","","","","","","","","","",""
"749","0.532462477684021","0.532462477684021","0.532462477684021","0.46884483098983765","0.46884483098983765","0.46884483098983765","0.5111539363861084","0.5111539363861084","0.5111539363861084","","","","0.5015079975128174","0.5015079975128174","0.5015079975128174","","","","","","","","","","","","","","",""
"760","0.4776037931442261","0.4776037931442261","0.4776037931442261","0.5137592554092407","0.5137592554092407","0.5137592554092407","","","","","","","","","","","","","","","","","","","","","","","",""
"771","0.518126368522644","0.518126368522644","0.518126368522644","","","","0.5052381753921509","0.5052381753921509","0.5052381753921509","0.45667439699172974","0.45667439699172974","0.45667439699172974","0.4937015771865845","0.4937015771865845","0.4937015771865845","","","","","","","","","","","","","","",""
"782","0.45739543437957764","0.45739543437957764","0.45739543437957764","","","","","","","0.46603530645370483","0.46603530645370483","0.46603530645370483","","","","","","","","","","","","","","","","","",""
"793","0.49803125858306885","0.49803125858306885","0.49803125858306885","","","","0.479444682598114","0.479444682598114","0.479444682598114","0.48353222012519836","0.4623803496360779","0.5046840906143188","","","","","","","","","","","","","","","","","",""
"804","0.5228849649429321","0.5228849649429321","0.5228849649429321","0.49814078211784363","0.49084752798080444","0.5054340362548828","0.4817692041397095","0.4817692041397095","0.4817692041397095","0.4908422827720642","0.4908422827720642","0.4908422827720642","","","","","","","","","","","","","","","","","",""
"815","0.5002083778381348","0.5002083778381348","0.5002083778381348","0.5181325078010559","0.5181325078010559","0.5181325078010559","","","","0.4825904369354248","0.4825904369354248","0.4825904369354248","","","","","","","","","","","","","","","","","",""
